edge_count,relationship_type
1077573,BELONGS_TO
447499,HAS_COORDINATE
358050,HAS_TERM
121261,IN_REGION
75922,ABOUT
63160,IN_ONVOC
52117,IN_DOMAIN
35199,IN_SPACE
30880,COMPUTED_WITH
30880,GENERATED_FROM
30163,DERIVED_FROM
17667,MAPS_TO
14728,HAS_RESOURCE
12958,HAS_TEXT_EMBEDDING
10875,MEASURES
4294,IMPLEMENTS_FAMILY
4142,HAS_VERSION
3397,CITES
2655,SUPPORTS_MODALITY
2514,SUGGESTS_MEASURES
2464,HAS_CONTRAST
2123,HAS_REGION
1982,PARTICIPATES_IN
1839,HAS_MODALITY
1694,HOSTED_AT
1679,HAS_TASK
1425,PART_OF
1293,HASCITATION
1237,ASSERTS
1218,HAS_PHENOTYPE
1218,MEASUREDBY
990,INVOLVES_SPECIES
863,CLASSIFIED_UNDER
807,HASCONDITION
750,USES_CONDITION
584,HASINDICATOR
523,CLASSIFIEDUNDER
429,KINDOF
402,INCLUDES
362,PRODUCES_RESOURCE
338,CONSUMES_RESOURCE
310,HAS_CONDITION
292,AFFILIATED_WITH
263,PARTOF
232,AUTHORED_BY
224,HAS_GLM_PRIOR
190,RELATED_TO
176,BELONGS_TO_FAMILY
163,REQUIRES_FIELD
152,USES_TASK
134,INBATTERY
102,HAS_VALIDITY_LAYER
81,HAS_REASON_TAG
80,CONTAINS_IMPLEMENTATION_RULE
76,HAS_EXPERIMENT
72,DESCRIBES_TASK
71,CONTAINS_RULE
71,HAS_LIFECYCLE_STATUS
71,HAS_SEVERITY
71,IN_RULE_GROUP
60,CONTAINS_CALIBRATION_CASE
55,CALIBRATES_RULE
53,CONTRAST_OF
49,CITED_BY
28,MAPPED_TO_IMPLEMENTATION
26,HAS_PARCEL
17,IN_PARCELLATION
13,VALIDATED_ON
7,HAD_FAILURE
7,HAS_VARIANT
6,ACTIVATES
6,HAS_POLICY_DECISION
5,TRIGGERS_SENSITIVITY
3,FAILED_ON
2,DOCUMENTED_IN
2,HAS_GLM_RUN
2,HAS_PARCELLATION
1,CALIBRATES_MODIFIER
1,CONTAINS_MODIFIER
1,HAS_EVIDENCE
1,HAS_SUMMARY
1,LOCATED_IN
1,MEASURED_BY
1,MENTIONS_CONCEPT
1,SIMILAR_TO
