route_id,route_label,analysis_family,modality,dataset,task_type,tool_family,kg_anchor,needs_preprocessing,uses_spatial_map,uses_glm,uses_connectivity,uses_prediction,uses_diffusion,uses_eeg_meg,uses_clinical,uses_evidence,uses_review,uses_memory,ood_novelty,constraint_load,evidence_strength,review_load,memory_reuse,benchmark_score,runtime_cost,kg_spatial_prior,kg_task_prior,kg_tool_prior,kg_evidence_prior,kg_graph_prior,runtime_prior,memory_prior,embedding_x,embedding_y
route_qc_preprocessing_00,OpenNeuro derivatives + dMRI + normalization + segmentation,QC / preprocessing,dMRI,OpenNeuro derivatives,normalization,segmentation,exp1,0.9421115304807772,0.520446398963838,0.035542973925229954,0.15390933416883348,0.13711399096104468,0.2180065762941636,0.0,0.1318397332620379,0.2731976555304039,0.4568519261848634,0.23951957709396668,0.04809863153988723,0.8451947076397888,0.26262605442646964,0.5202549755323859,0.3264205219129451,0.41618004691397653,0.5802872225435374,0.520446398963838,0.11092802925139635,0.580326283429849,0.25152723214844547,0.15390933416883348,0.5153777334644902,0.3162625240973926,16.8136043548584,5.329902648925781
route_qc_preprocessing_01,OpenNeuro + fMRI + confound inspection + preprocessing,QC / preprocessing,fMRI,OpenNeuro,confound inspection,preprocessing,exp3,1.0,0.5601888206305747,0.08784948859905298,0.0,0.014984961769968622,0.24684743854893032,0.007365084090214992,0.0005411752421494165,0.2189460370577945,0.38639625992631843,0.24742557943733604,0.11895841052009512,0.7475102461034268,0.34788608917854114,0.6074853413799064,0.41206597187168537,0.4927393732770296,0.7071801693112162,0.5601888206305747,0.07107203701629976,0.595405649206707,0.20157892857499005,0.0,0.6280767500154706,0.3992427424447916,17.155881881713867,6.0635905265808105
route_qc_preprocessing_02,OpenNeuro + dMRI + confound inspection + mriqc,QC / preprocessing,dMRI,OpenNeuro,confound inspection,mriqc,go/no-go,1.0,0.4494355959216487,0.1558598747214039,0.15775801167027778,0.008304424383030612,0.38002707551225745,0.049546881285506265,0.022046221363160493,0.2548435548701451,0.48748482293856205,0.28772916185220127,0.09438916736768839,0.795676374190288,0.39337109145423127,0.6435039684576499,0.40608195368463257,0.5132040096753245,0.669885007525003,0.4494355959216487,0.12609383346683334,0.595405649206707,0.23462900464101694,0.15775801167027778,0.5949533325010897,0.3934449430754653,17.189495086669922,5.784713268280029
route_qc_preprocessing_03,Neurodesk runtime + sMRI + quality control + mriqc,QC / preprocessing,sMRI,Neurodesk runtime,quality control,mriqc,digit span,0.9623453962273263,0.5372472617677078,0.1584196516865265,0.2244394304845186,0.0,0.1983482462108418,0.04204872246727242,0.0,0.21989395877809614,0.4436763498314442,0.38170597352364327,0.09481125353709913,0.7787311276855572,0.32604256688350264,0.5337372989663349,0.5490294110296504,0.47217837873276364,0.6802607747562925,0.5372472617677078,0.1281647455019505,0.5855970025420676,0.2024516598073938,0.2244394304845186,0.60416849215113,0.5319439669980381,17.236230850219727,5.651724815368652
route_qc_preprocessing_04,OpenNeuro derivatives + sMRI + normalization + segmentation,QC / preprocessing,sMRI,OpenNeuro derivatives,normalization,segmentation,Columbia Card Task (CCT),0.9275856356951814,0.5492511045774944,0.07116722050666276,0.22579830545236446,0.09245075267557565,0.2484306651543544,0.04344476651237735,0.07790847913864529,0.3183882132977516,0.44964902855634425,0.3379198530217269,0.0,0.822534203177098,0.24026673237117477,0.4177036185789045,0.4302090029487566,0.44150470550609133,0.7106634317212944,0.5492511045774944,0.07479455397096209,0.5765424335107314,0.2931332111324064,0.22579830545236446,0.6311703833339838,0.4168211740016845,16.682865142822266,5.218839645385742
route_qc_preprocessing_05,OpenNeuro + fMRI + confound inspection + segmentation,QC / preprocessing,fMRI,OpenNeuro,confound inspection,segmentation,columbia card task,0.9594436668811461,0.5633512564942055,0.13204586394180318,0.13853360571612572,0.036614528533540934,0.2956600920828354,0.033793996407203396,0.03281107091521024,0.24485321428997028,0.4522936451629958,0.2314584995668078,0.06688954154383361,0.7442328289835247,0.41318433601460774,0.5625284843193298,0.45580492157498825,0.46158315706434216,0.6922903614479499,0.5633512564942055,0.10682781060631337,0.5848411311472993,0.22543111196703675,0.13853360571612572,0.6148524791196623,0.4416205640151666,17.1861629486084,5.374533653259277
route_qc_preprocessing_06,Neurodesk runtime + fMRI + quality control + fmriprep,QC / preprocessing,fMRI,Neurodesk runtime,quality control,fmriprep,Verbal Digit/Letter WM,0.8616431422815606,0.6050295538962757,0.0,0.19918800267317738,0.0,0.30063442048225997,0.008511828493011988,0.00010572888105322975,0.33119466872129955,0.5437109651089698,0.2957226811099865,0.03219544230879918,0.7896086472119087,0.2866150990193815,0.6214081393841997,0.41471202443753785,0.496672623175041,0.6484357337918021,0.6050295538962757,0.0,0.5593650752789363,0.3049238404482535,0.19918800267317738,0.5759033213141777,0.40180645154759753,17.344951629638672,5.984144687652588
route_qc_preprocessing_07,OpenNeuro + sMRI + quality control + segmentation,QC / preprocessing,sMRI,OpenNeuro,quality control,segmentation,Route Learning / Decision-Point Navigation,1.0,0.5399843077416092,0.1627849052173726,0.1508660987993619,0.004863770699311883,0.2287654580998536,0.0,0.10051734144701939,0.22560765542099787,0.4305050884637831,0.2103926455311656,0.0,0.907513740672028,0.30636984094363834,0.48148390380447303,0.471926211617377,0.5914726929711746,0.6054884203387214,0.5399843077416092,0.13169632508741402,0.595405649206707,0.20771213797341156,0.1508660987993619,0.5377599877959611,0.4572401698249747,17.52126121520996,5.346609115600586
route_qc_preprocessing_08,OpenNeuro + fMRI + quality control + mriqc,QC / preprocessing,fMRI,OpenNeuro,quality control,mriqc,Unidimensional Threshold Rule,1.0,0.5484761452939352,0.10464371987901935,0.1010997542910367,0.07956097059479958,0.21494567228332412,0.0,0.02796304850820165,0.17095332058646728,0.5368095705945015,0.2670381942049991,0.06895922316312712,0.7978036217401209,0.321325561820458,0.5169825369280807,0.4909553684439631,0.48037860570529584,0.6901561628688659,0.5484761452939352,0.08465891437010756,0.595405649206707,0.15739306206789397,0.1010997542910367,0.6129570066989011,0.47567715146495343,17.474708557128906,5.5835418701171875
route_qc_preprocessing_09,OpenNeuro + dMRI + quality control + segmentation,QC / preprocessing,dMRI,OpenNeuro,quality control,segmentation,choice task,1.0,0.5748690174023195,0.06336785943203929,0.06017203319957974,0.11171944556279463,0.31281906372435697,0.0,0.13522244970422867,0.30079379850255133,0.5040269894232239,0.3598899257610206,0.020384852707026373,0.8984732438732067,0.26897145121142896,0.6060120000045872,0.4821055851369993,0.5567852423790927,0.8221355399612879,0.5748690174023195,0.09038332148657517,0.595405649206707,0.27693441013568315,0.06017203319957974,0.7301734980974246,0.4671027677528847,17.695457458496094,5.601893424987793
