task_a,task_b,pair,text_cosine_distance,behavior_cosine_distance,text_distance_percentile,behavior_distance_percentile,text_close_behavior_far,behavior_close_text_far
Associative Recognition (Intact vs Rearranged),Recent Probes,Associative Recognition... <-> Recent Probes,0.4210530565485652,0.4410358086702516,0.09302325581395349,0.9386892177589852,0.8456659619450317,-0.8456659619450317
Recent Probes,associative recognition,Recent Probes <-> associative recognition,0.4183218874856962,0.44016841645717375,0.0919661733615222,0.9365750528541226,0.8446088794926003,-0.8446088794926003
associative recognition,recent probes task,associative recognition <-> recent probes task,0.42937854180308777,0.4407308840499661,0.10465116279069768,0.9376321353065539,0.8329809725158562,-0.8329809725158562
Associative Recognition (Intact vs Rearranged),recent probes task,Associative Recognition... <-> recent probes task,0.43414109177160765,0.4418407440719344,0.10993657505285412,0.9397463002114165,0.8298097251585623,-0.8298097251585623
Verbal Digit/Letter WM,associative recognition,Verbal Digit/Letter WM <-> associative recognition,0.43150822169475944,0.4172625827260086,0.10782241014799154,0.9238900634249472,0.8160676532769556,-0.8160676532769556
Associative Recognition (Intact vs Rearranged),Verbal Digit/Letter WM,Associative Recognition... <-> Verbal Digit/Letter WM,0.4299234240551897,0.41405708550772535,0.10570824524312897,0.9186046511627907,0.8128964059196617,-0.8128964059196617
associative recognition,digit span,associative recognition <-> digit span,0.4525830475747272,0.42091883217364756,0.12156448202959831,0.9291754756871036,0.8076109936575052,-0.8076109936575052
Associative Recognition (Intact vs Rearranged),digit span,Associative Recognition... <-> digit span,0.45921546674394775,0.4194654533527591,0.13107822410147993,0.927061310782241,0.795983086680761,-0.795983086680761
Recent Probes,Two-Step Task (Daw),Recent Probes <-> Two-Step Task (Daw),0.5005507082137467,0.3088291002967335,0.2040169133192389,0.8699788583509513,0.6659619450317125,-0.6659619450317125
Recent Probes,two-step task,Recent Probes <-> two-step task,0.5053259882629926,0.3081106347079897,0.2135306553911205,0.8668076109936576,0.6532769556025371,-0.6532769556025371
Two-Step Task (Daw),recent probes task,Two-Step Task (Daw) <-> recent probes task,0.5087155376148481,0.30885163018664485,0.21987315010570824,0.8710359408033826,0.6511627906976745,-0.6511627906976745
exp0,exp5,exp0 <-> exp5,0.42761177602230993,0.2536975441102495,0.1014799154334038,0.7494714587737844,0.6479915433403806,-0.6479915433403806
recent probes task,two-step task,recent probes task <-> two-step task,0.5089877596755473,0.30794402743518334,0.22093023255813954,0.8657505285412262,0.6448202959830867,-0.6448202959830867
exp,exp0,exp <-> exp0,0.4563809289557066,0.2554137743109822,0.12473572938689217,0.7632135306553911,0.638477801268499,-0.638477801268499
Recent Probes,exp4,Recent Probes <-> exp4,0.4994572193415344,0.28987466216826163,0.19873150105708245,0.8361522198731501,0.6374207188160677,-0.6374207188160677
exp4,recent probes task,exp4 <-> recent probes task,0.5184097611844674,0.28866254713285844,0.24947145877378435,0.8329809725158562,0.5835095137420718,-0.5835095137420718
balloon analogue risk task,exp4,balloon analogue risk t... <-> exp4,0.5233223985504922,0.2889037828022223,0.25898520084566595,0.8340380549682875,0.5750528541226216,-0.5750528541226216
associative recognition,category learning task,associative recognition <-> category learning task,0.5481269378733814,0.3938133845875844,0.34460887949260044,0.9143763213530656,0.5697674418604651,-0.5697674418604651
Four-Armed Bandit,exp0,Four-Armed Bandit <-> exp0,0.5004453135261133,0.254824331206841,0.2029598308668076,0.7600422832980972,0.5570824524312896,-0.5570824524312896
Balloon Analogue Risk Task (BART),exp4,Balloon Analogue Risk T... <-> exp4,0.5349270440819966,0.3013127454157183,0.29809725158562367,0.854122621564482,0.5560253699788584,-0.5560253699788584
exp,exp7,exp <-> exp7,0.43720010716717506,0.23143774788457294,0.113107822410148,0.6680761099365751,0.554968287526427,-0.554968287526427
Four-Armed Bandit,exp7,Four-Armed Bandit <-> exp7,0.4689770137507685,0.23783031165775514,0.14059196617336153,0.6902748414376322,0.5496828752642706,-0.5496828752642706
exp5,exp7,exp5 <-> exp7,0.47870260452183067,0.2408078982823687,0.15856236786469344,0.7029598308668076,0.5443974630021141,-0.5443974630021141
exp7,four-armed bandit task,exp7 <-> four-armed bandit task,0.47585238469182234,0.23575580913000926,0.1543340380549683,0.6797040169133193,0.525369978858351,-0.525369978858351
associative recognition,weather prediction task,associative recognition <-> weather prediction task,0.5626429800099926,0.42248224297519577,0.4080338266384778,0.9323467230443975,0.5243128964059196,-0.5243128964059196
exp0,four-armed bandit task,exp0 <-> four-armed bandit task,0.5108627824815734,0.2514402755012719,0.22727272727272727,0.7420718816067653,0.514799154334038,-0.514799154334038
associative recognition,n-back,associative recognition <-> n-back,0.5650679883290195,0.4222506171793665,0.4164904862579281,0.9312896405919662,0.514799154334038,-0.514799154334038
Associative Recognition (Intact vs Rearranged),category learning task,Associative Recognition... <-> category learning task,0.5617293194333135,0.39389109620687135,0.40169133192389006,0.9154334038054969,0.5137420718816068,-0.5137420718816068
Recent Probes,exp7,Recent Probes <-> exp7,0.5312622441431294,0.26307855887435183,0.2854122621564482,0.7970401691331924,0.5116279069767442,-0.5116279069767442
