outcome_key,repeat_index,delta_r
cognition,1,0.069449652654477501
cognition,2,0.045402611357535538
cognition,3,0.096593143041952045
cognition,4,0.14312134669116264
cognition,5,0.11015230048395391
cognition,6,0.094080654690965132
cognition,7,0.11059230083443422
cognition,8,0.10824615729868514
cognition,9,0.099950960732828276
cognition,10,0.082230318763813842
tobacco_use,1,0.16062052377667924
tobacco_use,2,0.15635331536634112
tobacco_use,3,0.089195084774039868
tobacco_use,4,0.074107551560232021
tobacco_use,5,0.078539280071320328
tobacco_use,6,0.061347203081301427
tobacco_use,7,0.11169183765027722
tobacco_use,8,0.013000614628965845
tobacco_use,9,0.11310848420088102
tobacco_use,10,0.12336069726552799
personality_emotion,1,0.064987484143997715
personality_emotion,2,0.026311337556813783
personality_emotion,3,0.10270974229277224
personality_emotion,4,0.027791810646218721
personality_emotion,5,0.076562064712029476
personality_emotion,6,0.17047538977558266
personality_emotion,7,-0.00047410646362637532
personality_emotion,8,0.089421433497201774
personality_emotion,9,0.071660660137321752
personality_emotion,10,0.056316364868676201
illicit_drug_use,1,0.12350082551348525
illicit_drug_use,2,0.076283796007189278
illicit_drug_use,3,0.07564709257103619
illicit_drug_use,4,0.19603958124047388
illicit_drug_use,5,0.11014293883001885
illicit_drug_use,6,0.21053794926753944
illicit_drug_use,7,0.10370090642169327
illicit_drug_use,8,0.017604066642822297
illicit_drug_use,9,0.21167801258394742
illicit_drug_use,10,0.19396167668396599
mental_health,1,-0.010509173158549677
mental_health,2,0.075150656037631436
mental_health,3,0.1274548619593811
mental_health,4,0.1503956337087011
mental_health,5,0.063405419050883399
mental_health,6,0.036795421452242232
mental_health,7,0.0067019290102609689
mental_health,8,0.15120092829684229
mental_health,9,0.10763848350425059
mental_health,10,-0.024609152689827572
