rank,contrast_id,display_label,mean_early_auc,mean_late_auc,delta_auc,absolute_delta_auc
1,tools_vs_voice,Tools–voice,0.625,0.25,-0.375,0.375
2,music_vs_speech,Music–speech,0.9166666666666666,0.5625,-0.35416666666666663,0.35416666666666663
3,speech_vs_tools,Speech–tools,0.9791666666666666,0.6458333333333334,-0.33333333333333326,0.33333333333333326
4,animal_vs_speech,Animal–speech,0.9583333333333334,0.7916666666666666,-0.16666666666666674,0.16666666666666674
5,speech_vs_voice,Speech–voice,0.9166666666666666,0.75,-0.16666666666666663,0.16666666666666663
6,animal_vs_music,Animal–music,0.2708333333333333,0.4166666666666667,0.14583333333333337,0.14583333333333337
7,music_vs_voice,Music–voice,0.5416666666666666,0.4166666666666667,-0.12499999999999994,0.12499999999999994
8,animal_vs_tools,Animal–tools,0.4791666666666667,0.5833333333333334,0.10416666666666669,0.10416666666666669
9,nature_vs_speech,Nature–speech,1.0,0.9166666666666666,-0.08333333333333337,0.08333333333333337
10,music_vs_tools,Music–tools,0.625,0.6875,0.0625,0.0625
11,nature_vs_voice,Nature–voice,0.875,0.8125,-0.0625,0.0625
12,music_vs_nature,Music–nature,0.9166666666666666,0.875,-0.04166666666666663,0.04166666666666663
13,nature_vs_tools,Nature–tools,0.75,0.7083333333333334,-0.04166666666666663,0.04166666666666663
14,animal_vs_nature,Animal–nature,0.8541666666666666,0.8333333333333334,-0.02083333333333326,0.02083333333333326
15,animal_vs_voice,Animal–voice,0.4791666666666667,0.4791666666666667,0.0,0.0
