panel,collection,delta_s,late_directional_alignment_c
1,AudioSet,-0.7663820688930616,0.8153346838750962
1,BBC,-0.8625075879789502,0.8268219273734202
1,FreeSound,-0.7176656106647998,0.9145003219708182
1,SoundBible,-0.4284083860066038,0.7766559860783361
2,AudioSet,-0.5432781599280068,0.901025063036863
2,BBC,-0.3985171461940499,0.8960924113378063
2,FreeSound,-0.27493923219382843,0.8309476213950872
2,SoundBible,-0.5701441714886564,0.23869103545695056
3,AudioSet,0.028373533819816166,-0.4172477934713055
3,BBC,-0.4884844872056856,0.9618072899132196
3,FreeSound,-1.0058534002319672,0.9594458122965416
3,SoundBible,-0.7225056892124148,0.8144611319840149
